Interprete,Album,Track,Tema
"ROSSI, RAFAEL","VALSES, RANCHERAS Y PASODOBLES",15,LAMBETE JUANCHO QUE ESTAS HUEVO
"DE ANGELIS, ALFREDO",LOS PRIMEROS INSTRUMENTALES,10,LARGARON
"TROILO, ANIBAL",DE MUY ADENTRO VOL. 04,18,A FUEGO LENTO
"DARIENZO, JUAN",PURO TANGO,15,A MIS PAGOS VOY
"MORES, MARIANO",TEMAS MEMORABLES,16,ADIOS
"FRANCINI, ENRIQUE MARIO",ENRIQUE MARIO FRANCINI,8,ALGUIEN
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,16,AMAR HASTA MORIR
"DE ANGELIS, ALFREDO","EXITOS CON GODOY, FLORIO Y MARTEL",10,AMOR DE MARINERO
"RODRIGUEZ, ENRIQUE","TANGOS, VALSES Y MILONGAS",9,ANSELMO LAGUNA
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,19,ANSIEDAD
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES VOL. 3,16,ASI ERA EL TANGO
"D ARIENZO, JUAN",ATANICHE,12,ATANICHE
"DE ANGELIS, ALFREDO","EXITOS CON GODOY, FLORIO Y MARTEL",8,BAJO EL CONO AZUL
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,7,BOMBONCITO
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,3,BONITA
"FRANCINI, ENRIQUE MARIO",ENRIQUE MARIO FRANCINI,20,CABULERO
"MORES, MARIANO",TEMAS INOLVIDABLES,7,CADA VEZ QUE ME RECUERDES
"GOBBI, ALFREDO",ALFREDO GOBBI Y SUS CANTORES,17,CALLA
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,13,CHIQUE
"DARIENZO, JUAN",PURO TANGO,16,CHIQUITA Y BONITA
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,20,COLOR DE ROUGE
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES,12,COMO EL HORNERO
HERMANAS BERON,PORTEÑOS Y PROVINCIANOS,9,COMO HIGO E TUNA
"CANARO, FRANCISCO",VALSES Y RANCHERAS,7,CON LOS AMIGOS --A MI MADRE--
"MORES, MARIANO",TEMAS MEMORABLES,4,CRISTAL
