Tango,Orquesta Típica Corrientes (Angosta),9 de julio,1978
Tango,Juan D'Arienzo,9 de julio,1935
Tango,Carlos Di Sarli,9 puntos,1943
Tango,"Aníbal Troilo, voc. Francisco Fiorentino",A bailar,1943
Tango,Carlos Di Sarli,A la gran muñeca,1945
Tango,Rodolfo Biagi,A la gran muñeca,1950
Tango,Carlos Di Sarli,A la gran muñeca,1945
Tango,,A la gran muñeca,
Tango,Carlos Di Sarli,A la gran muñeca,1951
Tango,"Carlos Di Sarli, voc. Jorge Durán",A la luz del candil,1956
Tango,", voc. Mario Pomar",A la luz del candil,
Tango,"Rodolfo Biagi, voc. Carlos Acuña",A la luz del candil,1943
Tango,"Miguel Caló, voc. Jorge Ortiz",A las siete en el café,1943
Tango,Domingo Federico,A María Rosa,1954
Tango,Miguel Caló,A Martín Fierro,1943
Tango,Domingo Federico,A Martín Fierro,1945
Tango,"Héctor Varela, voc. Rodolfo Lesica",A media luz,
Tango,"Edgardo Donato, voc. Carlos Almada",A media luz,1950
Vals,Quinteto Pirincho,A mi madre,5-26
Vals,Quinteto Pirincho,A mi madre,5-26
Vals,Quinteto Pirincho,A mi madre,5-26
Tango,"Carlos Di Sarli, voc. Roberto Rufino",A mi me llaman Juan Tango,1943
Tango,"Miguel Caló, voc. Raúl Iriarte",A mí me llaman Juan Tango,1943
Tango,"Rodolfo Biagi, voc. Andrés Falgás",A mí no me interesa,1940
Tango,"Edgardo Donato, voc. Horacio Lagos",A oscuras,1941
Tango,"Ricardo Tanturi, voc. Alberto Castillo","A otra cosa, che pebeta",1943
Tango,Quinteto Pirincho,A pan y agua,1-29
Tango,"Ángel D'Agostino, voc. Ángel Vargas",A pan y agua,1945
Tango,"Ángel D'Agostino, voc. Ángel Vargas",A quien le puede importar,1945
Tango,"Rodolfo Biagi, voc. Carlos Acuña",A suerte y verdad,1944
Tango,"Francisco Canaro, voc. Ernesto Famá",Abandonada,1939
Tango,"Pedro Laurenz, voc. Héctor Farrel",Abandono,1937
Milonga,Héctor Varela,Abran cancha,1955
Vals,"Aníbal Troilo, voc. Francisco Fiorentino",Acordándome de vos,1942
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Adiós arrabal,1941
Tango,Osvaldo Pugliese,Adiós Bardi,1944
Tango,"Juan D'Arienzo, voc. Jorge Valdez",Adiós corazón,1958
Vals,"Francisco Canaro, voc. Ernesto Famá",Adiós juventud,1933
,,Adios Muchachos,
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Adiós para siempre,1942
Tango,Ricardo Tanturi,Adiós pueblo,1941
Tango,Julio De Caro,Adiós pueblo,1928
Tango,Ricardo Tanturi,Adiós pueblo,1941
Tango,"Rodolfo Biagi, voc. Carlos Acuña",Adiós te vas,1943
Tango,"Francisco Lomuto, voc. Jorge Omar","Adiós, muchachos",1942
Tango,Francisco Canaro,"Adiós, muchachos",1928
Vals,"Juan D'Arienzo, voc. Héctor Mauré","Adiós, querida",1941
Tango,"Carlos Di Sarli, voc. Roberto Rufino","Adiós, te vas...!",1943
Vals,"Alfredo Gobbi, voc. Carlos Heredia y Hugo Soler",Adoración,1947
Vals,"Rodolfo Biagi, voc. Carlos Heredia y Hugo Duval",Adoración,1951
Vals,Quinteto Pirincho,Adoración,6-08
Vals,Quinteto Pirincho,Adoración,6-08
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Agua florida,1941
Tango,Luis Petrucelli,Agua florida,1928
Tango,Astor Piazzolla,Ahí va el dulce,1948
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Ahora no me conocés,1941
Tango,"Rodolfo Biagi, voc. Jorge Ortiz",Ahora... No me conocés,1941
Tango,"Ricardo Tanturi, voc. Alberto Castillo",Al compás de un tango,1942
Tango,"Ricardo Tanturi, voc. Alberto Castillo",Al compás de un tango,1942
Tango,"Domingo Federico, voc. Carlos Vidal",Al compás del corazón,1947
Tango,"Miguel Caló, voc. Raúl Berón",Al compás del corazón,1942
Tango,"Carlos Di Sarli, voc. Alberto Podestá",Al compás del corazón,1942
Tango,"Miguel Caló, voc. Raúl Berón",Al compás del corazón / Late un corazón,1942
Tango,"Carlos Di Sarli, voc. Alberto Podestá",Al compás del corazón / Late un corazón,1942
Tango,", voc. Oscar Serpa",Al compás del corazón / Late un corazón,1953
Vals,"Ricardo Tanturi, voc. Enrique Campos",Al pasar,1943
Tango,"Pedro Laurenz, voc. Juan Carlos Casas",Al verla pasar,1942
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Al volverte a ver,1942
Tango,"Osvaldo Fresedo, voc. Ricardo Ruiz",Alas,1940
Tango,"Aníbal Troilo, voc. Alberto Marino",Alhucema,1944
Tango,Julio De Caro,Allá en el bajo,1926
Tango,"Adolfo Carabelli, voc. Alberto Gómez",Alma,1932
Tango,"Ricardo Tanturi, voc. Osvaldo Ribó",Alma de bohemio,1947
Tango,"Rodolfo Biagi, voc. Teófilo Ibáñez",Alma de bohemio,1939
Tango,Quinteto Pirincho,Alma de bohemio,4-20
Tango,"Pedro Laurenz, voc. Alberto Podestá",Alma de bohemio,1943
Vals,Juan D'Arienzo,Alma dolorida,1937
Tango,"Ricardo Tanturi, voc. Roberto Videla",Alma en pena,1946
Vals,"Carlos Di Sarli, voc. Roberto Rufino",Alma mía,1940
Tango,"Juan D’Arienzo, voc. Alberto Reynal",Almanaque de ilusión,1941
Vals,"Carlos Di Sarli, voc. Alberto Podestá",Álzame en tus brazos,1942
Tango,"Edgardo Donato, voc. Horacio Lagos y Romeo Gavioli",Amando en silencio,1941
Tango,"Juan D'Arienzo, voc. Alberto Echagüe",Amarroto,1951
Tango,"Juan D'Arienzo, voc. Alberto Echagüe",Amarroto,1951
Vals,"Alfredo Gobbi, voc. Carlos Heredia y Hugo Soler",Amémonos,1948
Tango,"Osvaldo Pugliese, voc. Roberto Chanel",Amiga,1947
Tango,"Ricardo Tanturi, voc. Roberto Videla",Amiga,1947
Tango,Francisco Canaro,Amigaso,1927
Tango,"Héctor Varela, voc. Ernesto Herrera",Amor de chiquilina,1959
Tango,"Alfredo Gobbi, voc. Carlos Heredia y Hugo Soler",Amor de forastero,1947
Vals,"Francisco Canaro, voc. Ernesto Famá y Lidia Desmond",Amor es amar,1933
Vals,Juan D'Arienzo,Amor y celo,1936
Tango,"Aníbal Troilo, voc. Floreal Ruiz",Amor y tango,1945
Tango,"Miguel Caló, voc. Raúl Iriarte",Amor y tango,1945
Tango,"Aníbal Troilo, voc. Floreal Ruiz",Amor y tango,1945
Vals,"Rodolfo Biagi, voc. Alberto Lago",Amor y vals,1942
Vals,"Ricardo Tanturi, voc. Osvaldo Ribó y Roberto Videla",Amores de estudiante,1946
Vals,"Francisco Canaro, voc. Carlos Galán",Amores de estudiante,1934
Tango,"Pedro Laurenz, voc. Juan Carlos Casas",Amurado,1940
Tango,Julio De Caro,Amurado,1927
Tango,Pedro Laurenz,Amurado,1947
Tango,Osvaldo Pugliese,Amurado,1944
Milonga,"Osvaldo Pugliese, voc. Roberto Chanel",Andá que te cure Lola,1947
Tango,"Francisco Canaro, voc. Ernesto Famá",Andate (No te vayas),1933
Tango,José Bohr,Angustia,1926
Vals,Quinteto Pirincho,Anoche te soñé,5-11
Tango,,Añorándote,1930
Vals,"Ricardo Tanturi, voc. Enrique Campos",Añoranzas,1944
Tango,"Carlos Di Sarli, voc. Roberto Rufino","Anselmo Acuña, el resero",1943
Tango,"Ricardo Tanturi, voc. Enrique Campos",Anselmo Laguna,1945
Tango,"Juan D'Arienzo, voc. Alberto Echagüe",Ansiedad,1938
Tango,"Ricardo Tanturi, voc. Roberto Videla",Aquel muchacho triste,1947
Tango,Francisco Canaro,Araca corazón,1927
Tango,"Francisco Canaro, voc. Ernesto Famá",Araca la cana,1933
Tango,"Osvaldo Fresedo, voc. Roberto Ray",Araca la cana,1933
Tango,Ricardo Tanturi,Argañaraz,1940
