Grandes Exitos De Feliciano Brunelli - 1939-1951 - Archivo RCA,00743219561428,1
"Hector Varela Y Sus Cantores - Argentino Ledesma, Rodolfo Lesica, Jorge Rolando - Magenta",00605889130727,1
La Epoca De Oro - Vol 14 - 1926-1952 - BATC,02480002150541,1
Alberto Castillo Vol. 2 - Grandes Del Tango 47 - Disc 2,07798108081825,2
Francisco Lomuto Vol 1 - Años 1927-1931 - BATC ORQ 204,02480002152040,1
20 Grandes Exitos - Vol 1,00828765442527,1
Grandes Del Tango - Roberto Firpo - Disk 1,07798108080514,1
Pedro Maffia - 1929-1930 - Sello Brunswick - Club De Tango,02480002153146,1
Tangos Y Milongas - Sondor,07730725804524,1
Homenaje A El Rey Del Compás - 1937-1938 - El Esquinazo,00828766933123,1
Narcotango 2,07796095005367,1
Orquesta Tipica Victor 1931-1943 Derecho Viejo - BATC,02480002153399,1
Sus Primeros Éxitos con Héctor Mauré,00743214972120,1
Carlos Di Sarli - Vol 03 - 1930-1931 - Sello RCA Victor - Club De Tango,02480001050323,1
Hector Varela - Noches De Cabaret - Reliquias,00724359515823,1
Grandes Del Tango - Orquesta Tipica Victor - Disk 1,07798108081986,1
Tania - Vol 1 - 1930-1931 - CTA,02480001085127,1
Angel Vargas Vol. 2 - Grandes Del Tango 30 - Disc 1,07798108080552,1
Recordando El Arte De Imperio Argentina - CTA 902,02480001090220,1
Francisco Canaro - Ojos Negros - Magenta,07798067339531,1
Con Estilo Para Bailar - Volume 1,00620953103322,1
Troilo En RCA Victor Vol 01 (1941) - Yo Soy El Tango,00828765943628,1
Grandes Del Tango - Orquesta Tipica Victor - Disk 2,07798108081986,2
Tangos Para Bailar - Reliquias,00724352912926,1
La Revancha Del Tango,07798014098054,1
"El ""Chato"" Flores En El Recuerdo",00724354170522,1
Juan Maglio (Pacho) - IV 1927-1931 - CTA,02480001072424,1
Tangos De Oro,00607000041028,1
Bien Compadre,00607000442023,1
Osvaldo Fresedo - Apasionado - Reliquias,00724354170027,1
Orquesta Tipica Victor - Vol 15 - 1932 - Sello Victor - Club De Tango,02480001011522,1
Serie Orquestas Olvidadas Vol 1 - BATC,02480002153016,1
Enrique Mora - 1950-1951 - CTA,02480001040324,1
Hector Varela - Su Primera Orquesta - Reliquias,00724349996328,1
Conjuntos Y Orquestas Varias 1953/1957 - Archivo Columbia,00828768475027,1
Fresedo En Estereo,00886971626124,1
Luis Petrucelli 1928-1931 - ORQ 220,02480002152200,1
Francisco Canaro - 1934 - CTA-707,02480002152927,1
Osvaldo Fresedo - 20 Grandes Exitos - Tango Collection,07798145106437,1
Toca Tango,07798097196012,1
Anibal Troilo - Quejas De Bandoneon - Magenta,07798067339593,1
Lucio Demare - Vol 2 - 1942-1945 - CTA,02480001075227,1
Serie Orquestas Olvidadas Vol 2 - BATC,02480002153023,1
El Tango En Alemania - Orquestas De 1925-1939 - BATC,02480002153436,1
Francisco Canaro Canta Roberto Maida Vol 2,05099923539327,1
,00828767009827,1
Joyas Del Tango - Vol 2 1929-1942 - Club de Tango,02480001101124,1
Argentino Ledesma - 20 Grandes Exitos - Reliquias,00724347389221,1
La Epoca De Oro - Vol 02 - 1913-1930 - BATC,02480002150428,1
Ricardo Tanturi - Años 56 al 59 (Serie Rivista Vol 12) - BATC,00743218804229,1
Tango Classics 001 - Francisco Lomuto Y Fernando Diaz - Rinconada De Mis Tiempos - Danza Y Movimiento,04024236200016,1
20 Años,00605900334028,1
"Lucio Demare - Vol 5 - 1957-1959 - Sellos Disc Jockey, Music Hall - Club De Tango",00709735501829,1
Francisco Rotundo Con Sus Cantores - BATC ORQ 223,02480002152231,1
Charlo - 20 Grandes Exitos - Tango Collection,07798145106567,1
El Tango En Uruguay - 1945-1952 - BATC,02480002150725,1
Orquesta Tipica Brodman-Alfaro 1930-1932 - BATC ORQ 231,02480002152316,1
Juan D'Arienzo - Años 57 al 63 (Serie Rivista Vol 11) - BATC,00743218625121,1
Juan Maglio (Pacho) - BATC,02480002152019,1
Angel Vargas Vol. 1 - Grandes Del Tango 10 - Disc 1,07798108080187,1
Agusting Magaldi - 19 Grandes Exitos - Tango Collection,07798145106383,1
"Juan Maglio ""Pacho"" - 1927-1928 - BATC ORQ 243",02480002152439,1
Trio Argentino - Tango Collection,07798145106925,1
Carlos Di Sarli  - 1954-1956 - Archivo RCA,00828767208121,1
Edgardo Donato - Vol. 1 1932-1941 - CTA241,02480001024126,1
El Tango En Europa Vol 2 - BATC,02480002119425,1
Roberto Calo - Nostalgias 1950-1953 - BATC ORQ 323,02480002153238,1
El Dia De Tu Ausencia,08427328130967,1
Carlos Di Sarli - Milonga Del Sentimiento - Para Bailar,07898659722273,1
Dos En Uno - Francisco Canaro,00724382137429,1
Instrumentales Inolvidables,00724349998629,1
Donato Racciatti Y Su Gran Orquesta,00610077188329,1
Orquesta Tipica Victor - Vol 03 - 1926-1927 - Sello Victor - Club De Tango,02480001010327,1
Orquesta Tipica Victor - Vol 01 - 1925-1926 - Sello Victor - Club De Tango,02480001010129,1
Vargas-Del Piano - FM Tango,00743212018424,1
Francisco Canaro Vol. 1 - Grandes Del Tango 28 - Disc 2,07798108080743,2
Julio De Caro - RCA Victor 100 Años,00743218817328,1
Orquestas Olvidadas Vol 3 - Reliquias,00724347759925,1
Francisco Lomuto - Vol. 1 1931 - CTA221,02480001022122,1
Manuel Buzon - 1942-1943 - CTA,02480001076521,1
Julio De Caro 1929-1931 - BATC ORQ 222,02480002119920,1
Roberto Firpo - Tangos Y Valsecitos Vol 2 - Reliquias,00724359515625,1
Jose Garcia Y Sus Zorros Grises Vol 1 - 1942-1943 - Nocturno De Tango - BATC ORQ 211,02480002152118,1
Lunfa Reo,00731452283023,1
Julio De Caro - Tangos De Rompe Y Raja - Reliquias,00724349537620,1
Bien Milonga (1950-51),07798089730286,1
Enrique Rodriguez - Sus Primeros Sucesos - Reliquias,00724347758423,1
Para Bailar Sin Parar - Reliquias,00724385902420,1
Osvaldo Fresedo - 1933-1948 - Coleccion 78 RPM,00828767206929,1
Francisco Canaro Vol. 3 - Grandes Del Tango 38 - Disc 1,07798108081030,1
Homenaje A El Rey Del Compás - 1955-1957 - Cantemos Corazon Calla Bandoneon,00828766934724,1
Tangos Para La Historia 1944-1948 (Grandes Orquestas Tipicas Uruguayas),07730725821422,1
El Tango De Los 40 - Ineditos De Sondor,07730725820029,1
A La Gran Muñeca,00709735520820,1
Carlos Di Sarli - Vol 11 - 1946-1948 - Sello RCA Victor - Club De Tango,02480001051122,1
Orquesta Tipica Victor - Vol 12 - 1930-1931 - Sello Victor - Club De Tango,02480001011225,1
Homenaje A El Rey Del Compás - 1957-1958 - Criollo De Ley,00828766934922,1
Anibal Troilo - Yo Soy El Tango - 1938-1941 - BATC,08427328133067,1
Soy Uruguayo - Sondor,07730725819726,1
Juan D'Arienzo - El Rey Del Compas - Magenta,07798067339555,1
Tangos Con Armando Moreno,00724352910526,1
Julio De Caro - Vol 5 - 1928-1934 - CTA,02480001012529,1
Bianco-Bachicha - Tango En Paris Vol. 1 1926-1927 - ORQ 217,03561302508122,1
Florindo Sassone Y Sus Cantores 1947/1956,00828765443029,1
Ricardo Malerba - Vol 2 - 1943-1945 - Sello Odeon - Club De Tango,02480001075920,1
Angel D'Agostino 1942-1953 - Coleccion 78rpm,00828767020020,1
Juan Sanchez Gorio - 1954/1956 - Archivo Columbia,00828768363126,1
La Epoca De Oro - Vol 12 - 1950-1954 - BATC,02480002150527,1
Grandes Del Tango - Osvaldo Fresedo CD1,07798108080521,1
Tigre Viejo - Osvaldo Fresedo 1933-1948,07798089730552,1
Destruccíon Masiva,02480002103028,1
Versiones Radiales - 1949-1950 - Euro Records,07798089730620,1
Antología - Vol. 6,00731452238023,1
Francisco Lomuto - Canchero Viejo - 1926-1929 - BATC ORQ 333,02480002153337,1
Realidad de Tango 1926-1931 - BATC,02480002150619,1
Hector Varela - Vol 2 - 1958-1961 - Archivo Columbia,00828768363027,1
Aubade - Lecons De Tango,03259130168136,1
Roberto Firpo - De La Guardia Vieja Vol 3 - Reliquias,00724354169922,1
Homenaje A El Rey Del Compás - 1953-1954 - Mucho Mucho,00828766934427,1
Tangos De Salon,00743214128725,1
