Domingo Federico ; Rubén Sánchez,Domingo Federico,Rubén Sánchez
Aníbal Troilo ; Francisco Fiorentino,Aníbal Troilo,Francisco Fiorentino
Osvaldo Pugliese ; Ricardo Medina,Osvaldo Pugliese,Ricardo Medina
Manuel Buzón ; Osvaldo Moreno,Manuel Buzón,Osvaldo Moreno
Miguel Calo ; Alberto Podesta,Miguel Caló,Alberto Podestá
Roberto Calo ; Alberto Santillan,Roberto Caló,Alberto Santillán
Orquesta Típica Imperial ; Instrumental,Orquesta Típica Imperial,
Francisco Canaro ; Carlos Galan,Francisco Canaro,Carlos Galán
Liana ; Liana,,
Trio Ricardo-Barbieri-Aguilar ; Instrumental,,
Tanghetto ; Instrumental,Tanghetto,-
Juan Llossas ; Instrumental,Juan Llossas,
"Enrique Campos, Alfredo Calabro ; Orlando Verri",,Enrique Campos
"Francisco Lomuto ; Charlo, Choir",Francisco Lomuto,"Charlo, -choir-"
Orquesta Del Tangos Ingles ; Instrumental,,-
"Unknown ; Rosita Del Carril, Rosita Quiroga",,Rosita Quiroga
Rafael Canaro ; Unknown,Rafael Canaro,-unspecified male-
"Eduardo Bianco, Bachicha ; Teresita Asprella","Eduardo Bianco, Bachicha",Teresita Asprella
Barnabas Von Geczy ; Instrumental,,
Oscar Castagnaro ; Instrumental,Oscar Castagniaro,-
"Juan D'Arienzo ; Armando Laborde, Alberto Echagüe",Juan D'Arienzo,"Armando Laborde, Alberto Echagüe"
Orquesta Radio Victor Argentina ; Instrumental,Orquesta Radio Víctor Argentina,-
Unknown ; Roberto Maida,,Roberto Maida
Ángel D'Agostino ; Julián Centeya,Ángel D'Agostino,Julián Centeya
Orquesta Maffia-Gomez ; Alberto Gomez,Pedro Maffia,Alberto Gómez
Francisco Canaro ; Juan Carlos Rolon,Francisco Canaro,Juan Carlos Rolón
Eduardo Del Piano ; Mario Bustos,Eduardo Del Piano,Mario Bustos
Sexteto Tango ; Jorge Maciel,Sexteto Tango,Jorge Maciel
Orquesta Maffia-Gomez ; Instrumental,Pedro Maffia,-
"Jaime Wilensky ; Oscar Ferrari, Isabel Mendoza","Andrés Linetzky, Jaime Wilensky",Oscar Ferrari
Adolfo Carabelli ; Mercedes Simone,Adolfo Carabelli,Mercedes Simone
Juan Polito ; Instrumental,Juan Polito,-
Bachicha ; Jose Duarte,Bachicha,José Duarte
Will Glahé ; Instrumental,,
Orquesta Tipica Columbia ; Ernesto Fama,Orquesta Típica Columbia,Ernesto Famá
Carlos Di Sarli ; Ernesto Famá,Carlos Di Sarli,Ernesto Famá
Ultratango ; Raúl Lavie,,
Carlos Demaria ; Miguel Montero,Carlos Demaria,Miguel Montero
Francisco Canaro ; Ernesto Fama,Francisco Canaro,Ernesto Famá
Enrique Rodríguez ; Roberto Videla,Enrique Rodríguez,Roberto Videla
Alberto Mancione ; Jorge Ledesma,Alberto Mancione,Jorge Ledesma
Osváldo Pugliese ; Jorge Maciel,Osvaldo Pugliese,Jorge Maciel
Tangothic ; Juan Martin Casalla,,
Ricardo Malerba ; Orlando Medina,Ricardo Malerba,Orlando Medina
Mariano Mores ; Choir,Mariano Mores,-
Trio Jose Luis Padula ; Instrumental,José Luis Padula,-
Miguel Calo ; Roberto Mancini,Miguel Caló,Roberto Mancini
Armando Pontier ; Roberto Goyeneche,,Roberto Goyeneche
Osvaldo Fresedo ; Oscar Serpa,Osvaldo Fresedo,Oscar Serpa
