A 0.05 el copetín,tango,Z0999917674,José Pecora,-
A Américo Mato,tango,T0464455080,Miguel Villasboas,-
A Aníbal Etchart,,T0370907882,Carlos Molina Borges,"Carlos Molina Borges, Roberto Fontaina"
A Anselmo Aieta,,T0370680446,Julio Ahumada,"Amleto Alfredo Viola, Raúl Juan Mauricio Moyano"
A bailar,tango,T0370199340,Domingo Federico,Homero Expósito
A bailar el tango,tango,T0370549715,Leopoldo Díaz Vélez,Leopoldo Díaz Vélez
"A bailar, compadre!",,T0371786752,Carlos Lucero,Carlos Lucero
A bailarlo,tango,T0370285043,José Dames,-
A barquinazos,,T0373717191,Osvaldo Pugliese,Homero Expósito
A Beba Bidart,poema lunfardo,Z0999913647,,
A Belisario Roldán,tango,T0370070851,Enrique Forte,-
A Berlín hay berlineses,,T0370948143,"Luis César Amadori, Julio Porter",-
A Berlín hay berlineses,,Z0000835290,"Luis César Amadori, Julio Porter",
A bientôt,tango,T0372208917,Saúl Cosentino,
A bisale Glik,tango,Z0999990005,,
A bordo de mis zapatos,milonga,T0373001398,César Isella,Eugenio Majul
A Brasil me voy,,T0370573719,Osvaldo Larrea,Andrés Ortiz
A buen tiempo,tango,Z0999912714,Enrique Delfino,-
A Buenos Aires,milonga,T0371157026,Edmundo Rivero,Edmundo Rivero
A Buenos Aires,tango contemporaneo,T0429510280,Alejandro Fasanini,-
A candombear,candombe,T0412699490,Osvaldo Larrea,Antonio Bartrina
A cara limpia,tango,T0373307493,Anselmo A. Aieta,Nolo López
A cara o cruz,tango,T0370214780,Agustín Irusta,Cátulo Castillo
A Carlitos Gardel,poema evocativo,Z0999913120,,
A Carlitos Solé,tango,T0464195274,Orlando Romanelli,Florencio Napoli
A Carlos Gardel,,T0370411361,Enrique Cadícamo,Enrique Cadícamo
A Carlos Gardel,poema evocativo,Z0999912178,,
A Catamarca,vals,T0370448375,Selva Gijena,Selva Gijena
A Cátulo Castillo,tango,T0371412644,Eladia Blázquez,Eladia Blázquez
A Celedonio Flores,,T0370680571,Sebastián Piana,
A Chiclana,tango,T0370393966,Julio Nudler,Héctor Negro
A Chirolita,,T0370890553,Alberto Castillo,Carlos Agustin Jonsson
A ciegas,tango,Z0999919128,,
A cielo partido,tango,Z0001261424,Marta Pizzo,Marta Pizzo
A contramano,tango,T0370073725,Luis Teisseire,Juan Andrés Caruso
A cuenta de inventario,tango,T0373378461,Mario Valdez,Ernesto Pierro
A Daniel Giribaldi,poema lunfardo,Z0999911773,,
A diez centavos la pieza,milonga,Z0999916232,Tito Ribero,Santiago Luis D. Adamini
A Domingo Rulio,,T0374365908,Paulina Fain,-
A Don Alberto,,T0370494828,Alberto Castillo,-
A Don Alfredo Gobbi,tango,Z0999918787,Eduardo Rovira,
A Don Anselmo Aieta,tango,Z0999918425,,
A Don Antonio,tango,T0370680902,"Héctor Varela, Alberto Nery",-
A Don Ástor,tango,T0035812964,Juan Carlos Carrasco,-
A Don Carlos de Buenos Aires,,T0371368023,Horacio Quintana,Julio Martín
A Don Claudio,tango,T0464158277,"Miguel Villasboas, Orlando Romanelli",-
A Don Héctor María,tango,Z0999913298,"Héctor Varela, Tití Rossi",-
A Don Horacio Salgán,,T0373325586,Alberto Oscar Gentile,
A Don Javier,tango,Z0999918733,,
A Don José,milonga criolla,Z0999990006,,
A Don Juan Manuel,milonga,Z0999990007,,
A Don Julio De Caro,tango,T0371339524,"Luis Stazo, Ernesto Baffa",-
A Don Lalo Bello,,Z0999990008,"Francisco Delillo, Osvaldo Bruno, Teofilo Orlando",
A Don Manuel,,T0370923435,Adolfo Manuel Berón,Vicente Demarco
A Don Nicanor Paredes,milonga,T0370890644,Astor Piazzolla,Jorge Luis Borges
A Don Pedro Maffia,tango,T0370460437,Aníbal Troilo,-
A Don Pedro Santillán,tango,T0371461505,Eduardo Rovira,-
A Don Pirincho Canaro,,T0370382481,Antonio D'Alessandro,Antonio D'Alessandro
A Donato Racciatti,tango,Z0999990009,Enrique Gómez,Nelson Pilosof
A donde vas quedate en Buenos Aires,,T0371561500,Cacho Castaña,Cacho Castaña
A dos puntas,tango,T0370071310,"Juan Salomone, Nicolás Paracino",-
A dubli dubli,,T0371060637,Luis César Amadori,
A dúo con la vida,vals,T0374621723,Enrique Rassetto,Marta Pizzo
A duras penas,tango,T0370105079,Pedro Vergez,Carlos Alberto Martínez
A Eduardo Herrera Cuña,tango,T0464387550,Miguel Villasboas,-
A Emilio Balcarce,,T0373922134,Ramiro Gallo,-
A Ernesto Sabato,tango,T0371257087,"Roberto Grela, Leopoldo Federico",-
A escuchar tangos,tango,Z0999916154,Carlos Lagos,Carlos Lagos
A eso de la oración,canción,Z0999915331,Carlos Vicente Geroni Flores,
A eso e la media noche,,Z0999990010,Julio N. Vega,Julio N. Vega
A Evaristo Carriego,tango,T0370968674,Eduardo Rovira,-
A Firpo,,Z0999990011,,-
A flaco qué le vas […],,T0371365046,,Carlos Lucero
A Francini-Pontier,tango,T0464049748,Edgardo Pedrosa,-
A Francisco De Caro,tango,T0371463136,Gabriel Clausi,Juan Carlos La Madrid
A fuego lento,tango,T0370359866,Horacio Salgán,-
A fuego lento,,T0373117635,Dario Valles,"Alejandro Romay, Dario Valles"
A fuego lento,tango,Z0999901136,,
A fuego violento,,Z0999990012,,-
A Gardel,,Z0999990013,,
A Guaminí,vals,T0371535431,Nelly Omar,Nelly Omar
A Homero,tango,T0370475027,Aníbal Troilo,Cátulo Castillo
A Horacio Ferrer,,Z0999918347,,
A Horacio Salgán,tango,T0464049759,Edgardo Pedrosa,-
"A intrusa, part 1",tango,Z0999909149,Astor Piazzolla,-
"A intrusa, part 2",tango,Z0999909150,Astor Piazzolla,-
"A intrusa, part 3",tango,Z0999909151,Astor Piazzolla,-
