A Américo Mato,T0464455080,tango,Miguel Villasboas,-,,02:19
A bailar,T0370199340,tango,,,,02:45
A bailar,T0370199340,tango,,Roberto Goyeneche,,02:39
A bailar,T0370199340,tango,Aníbal Troilo,Francisco Fiorentino,1943-11-05,02:46
A bailar,T0370199340,tango,Domingo Federico,Armando Moreno,1953-11-04,02:43
A bailar,T0370199340,tango,Raúl Miguel Garello,Roberto Goyeneche,,02:39
A bailar,T0370199340,tango,Ricardo Malerba,Orlando Medina,1943-11-08,02:33
A bailar,T0370199340,tango,Orquesta Típica Porteña,Roberto Goyeneche,,
A barquinazos,T0373717191,?,Osvaldo Pugliese,Mario Alonso,,02:42
A Belisario Roldán,T0370070851,tango,Pedro Laurenz,-,1953-06-25,03:03
A buena hora,,tango,Osvaldo Fresedo,-,1922--1925,
A cara limpia,T0373307493,tango,Anselmo A. Aieta,Luis Scalón,1930,02:49
A Cátulo Castillo - Maria,,tango canción,,Susana Rinaldi,,05:10
A Cidade E Os Campos | The City and the Fields,,?,,-unspecified female-,,03:31
A contramano,T0370073725,tango,Francisco Canaro,Charlo,1928-04-04,03:20
A contramano,T0370073725,tango,Francisco Lomuto,Charlo,1928-03-10,02:59
A contramano,T0370073725,tango,"Guillermo Barbieri, José Ricardo, José María Aguilar",Carlos Gardel,1929-03-01,
A contramano,T0370073725,tango,Roberto Firpo,-,1928-03-15,
A D'Arienzo,,tango,,-,1960,02:40
A Don Agustín,,tango,,-,,02:49
A Don Agustín Bardi,T0370267358,tango,,,,03:22
A Don Agustín Bardi,T0370267358,tango,José Basso,-,,02:54
A Don Agustín Bardi,T0370267358,tango,Trio Pantango,-,,02:49
A Don Agustín Bardi,T0370267358,tango,Ensemble Hyperion,-,2007-03,03:15
A Don Antonio,T0370680902,tango,Héctor Varela,-,1964-04-02,02:40
A Don Claudio,T0464158277,tango,Miguel Villasboas,-,2001-10--11,02:30
A Don Horacio,,tango,Alberto Oscar Gentile,-,1950,
A Don Horacio,,tango,Alberto Oscar Gentile,-,1950--1960,02:27
A Don Horacio Salgán,,tango,Hugo Díaz,-,,02:18
A Don Horacio Salgán,,tango,Orquesta Puglia-Pedroza,-,1952,03:21
A Don Nicanor Paredes,T0370890644,tango,,Edmundo Rivero,,03:13
A Don Nicanor Paredes,T0370890644,tango nuevo,,,,03:44
A Don Pedro Maffia | A Pedro Maffia,T0370460437,tango,Aníbal Troilo,-,1968-09-11,03:02
A Don Pedro Maffia | A Pedro Maffia,T0370460437,tango,Cuarteto Troilo-Grela,-,1953,02:52
A Don Pirincho Canaro,,tango,"Quinteto Francisco Canaro, dir. Antonio D'Alessandro",-,,02:54
A Dona Cata,,tango,Juanjo Domínguez,,,01:46
A donde vas - Quedate en Buenos Aires,,tango canción,,,,03:58
A donde vas Pierrot,Z0000024165,tango,Juan Félix Maglio,Carlos Viván,1928-02-27,02:47
A dos puntas,T0370071310,tango,"Enrique Francini, Armando Pontier",-,1951-04-18,02:54
A duras penas,T0370105079,tango,Juan Bautista Guido,-,1927-03-30,03:07
A Eduardo Herrera Cuña,T0464387550,tango,Miguel Villasboas,-,,02:17
A Emilio Balcarce,T0373922134,tango,Orquesta El Arranque,,,05:01
A Ernesto Sábato,T0371257087,tango,Leopoldo Federico,-,,03:28
A eso e' la media noche,,aire provinciano,-unspecified guitars-,"Agustín Magaldi, Pedro Noda",1927-09-07,
A Evaristo Carriego,T0370968674,tango,Osvaldo Pugliese,-,,04:05
A Evaristo Carriego,T0370968674,tango,Osvaldo Pugliese,-,1969,03:50
A Evaristo Carriego,T0370968674,tango,Osvaldo Pugliese,-,1985-12-26,04:20
A Evaristo Carriego,T0370968674,tango,Osvaldo Pugliese,-,1989,07:09
A Evaristo Carriego,T0370968674,tango,Osvaldo Pugliese,-,1989-06-26,04:11
A Evaristo Carriego,T0370968674,tango,QuinTango,-,2008,04:48
A Evaristo Carriego,T0370968674,tango,Color Tango,-,,03:59
A Evaristo Carriego,T0370968674,tango,Ensemble Hyperion,-,2005-03,03:52
A Francini / Pontier,,tango,Orquesta Puglia-Pedroza,-,1952,02:55
A Francisco De Caro,T0371463136,?,Gabriel Clausi,,,03:27
A french touch,,jazz,,,,03:07
A fuego lento,,?,,,,04:33
A fuego lento,T0370359866,tango,Aníbal Troilo,-,1955,03:45
A fuego lento,Z0999901136,tango,Argentino Galván,,1958,01:53
A fuego lento,T0370359866,tango,,,,03:49
A fuego lento,T0370359866,tango,Eduardo Rovira,-,,03:06
A fuego lento,T0370359866,tango,,-,,02:58
A fuego lento,T0370359866,tango,,-,,05:12
A fuego lento,T0370359866,tango,,-,,04:00
A fuego lento,T0370359866,tango nuevo,,,,04:01
A fuego lento,T0370359866,tango,,-,,03:03
A fuego lento,T0370359866,tango,Horacio Salgán,,,03:11
A fuego lento,T0370359866,tango,Horacio Salgán,,1981-03-07,04:05
A fuego lento,T0370359866,tango,Horacio Salgán,Edmundo Rivero,,03:47
A fuego lento,T0370359866,tango,Horacio Salgán,-,,03:52
A fuego lento,T0370359866,tango,Horacio Salgán,-,1954,03:35
A fuego lento,T0370359866,tango,Juanjo Domínguez,-,,03:29
A fuego lento,T0370359866,tango,Juan José Mosalini,-,,03:35
A fuego lento,T0370359866,tango,,-,,04:14
A fuego lento,T0370359866,tango,Walter Ríos,,,03:22
A fuego lento,T0370359866,tango,Quinteto Ángel,-,2009-07-27--30,03:35
A fuego lento,T0370359866,tango,Nuevo Quinteto Real,,1996-01-19,
A fuego lento,T0370359866,tango,QuinTango,-,2003,03:54
A fuego lento,T0370359866,tango,QuinTango,-,2005,03:57
A fuego lento,T0370359866,tango,Quinteto Real,-,,02:50
A fuego lento,T0370359866,tango,Sexteto Canyengue,-,,03:37
A fuego lento,T0370359866,tango,Sexteto Mayor,-,,03:40
A fuego lento,T0370359866,tango,Sexteto Tango,-,,03:02
A fuego lento,T0370359866,tango,Octeto Buenos Aires,-,1957,03:37
A fuego lento,T0370359866,tango,Color Tango,-,,04:05
A fuego lento,T0370359866,tango,Ensemble Hyperion,-,2007-03,03:44
A fuego lento,T0370359866,tango,I Salonisti,-,,03:04
A fuego lento,T0370359866,electro,San Telmo Lounge,-,,04:42
A fuego violento,,tango,,-,2004,04:03
A garufiar,,tango,Edgardo Donato,Luis Díaz,,
A Gonzalo,,milonga,Juanjo Domínguez,,,01:49
A Guaminí,T0371535431,vals,José Canet,Nelly Omar,1979,02:36
A Homero,T0370475027,tango,,Rubén Juárez,,03:23
A Homero,T0370475027,tango,,Roberto Goyeneche,,03:15
A Homero,T0370475027,tango,,Ricardo Olivera,2009,03:31
A Homero,T0370475027,tango,Aníbal Troilo,Roberto Goyeneche,1961-08-18,03:17
A Homero,T0370475027,tango,Raúl Miguel Garello,Rubén Juárez,,03:25
A Jorge Páez Vilaró,T0464158266,tango,Miguel Villasboas,,1972-12-18,02:24
A Jose Artigas,,tango,,,,02:41
A José Manuel Moreno,T0370065589,tango,"Enrique Francini, Armando Pontier",-,1949-01-28,03:10
A José Razzano,T0370311059,tango,Alfredo Attadía,,1952,02:33
A Juan Carlos Copes,,milonga,Lalo Schifrin,-,,01:24
A la criolla,T0370091023,tango,Alfredo De Angelis,-,1961-08-15,02:42
A la criolla,T0370091023,tango,Manuel Romeo,-,1930,02:46
A la D'Arienzo,T0370923708,tango,Juan D'Arienzo,-,1968-09-13,
A la deriva,Z0999901137,tango,Osvaldo Fresedo,Teófilo Ibáñez,1932,02:58
"A la fiesta, chicas",,paso doble,Roberto Firpo,Alberto Diale,1942-07-21,02:54
A la flaunta,,milonga,Leopoldo Federico,,,02:46
