Orquesta Francisco Rotundo con María de la Fuente,Francisco Rotundo,Maria De La Fuente
Orquesta Francisco Canaro con Luis Díaz y coro,Francisco Canaro,Luis Díaz
Orquesta Edgardo Donato con Alberto Aguirre,Edgardo Donato,Alberto Aguirre
Orquesta Típica Victor con Antonio Buglione,Orquesta Típica Víctor,Antonio Buglione
Orquesta Francisco Canaro con Roberto Maida y coro,Francisco Canaro,"Roberto Maida, -choir-"
Orquesta Francisco Canaro con Tita Merello,Francisco Canaro,Tita Merello
Orquesta Edgardo Donato con Teófilo Ibáñez,"Edgardo Donato, Roberto Zerrillo",Teofilo Ibañez
Orquesta Roberto Firpo con Carlos Varela y Enrique Forte,Roberto Firpo,"Carlos A. Varela, Enrique Forte"
Orquesta Julio De Caro con palabras de Héctor Farrell,Julio De Caro,Héctor Farrel
Orquesta Juan D'Arienzo con Juan Carlos Lamas,Juan D'Arienzo,Juan Carlos Lamas
Orquesta Osvaldo Pugliese con Alberto Morán,Osvaldo Pugliese,Alberto Morán
Orquesta Edgardo Donato,Edgardo Donato,-
"Juan Maglio ""Pacho"" - solo de bandoneón",Juan Félix Maglio,-
Orquesta Típica Victor,Orquesta Típica Víctor,-
Rodolfo Biagi,,-
Cuarteto de Aníbal Troilo con Tito Reyes,Aníbal Troilo,Tito Reyes
Orquesta Francisco Canaro con Francisco Fiorentino,Francisco Canaro,Francisco Fiorentino
Orquesta Juan D'Arienzo con Mercedes Serrano,Juan D'Arienzo,Mercedes Serrano
Orquesta Típica Victor con Ángel Vargas,Orquesta Típica Víctor,Ángel Vargas
Orquesta Enrique Rodríguez con Armando Moreno,Enrique Rodríguez,Armando Moreno
Orquesta Francisco Canaro con Agustín Irusta y coro,Francisco Canaro,Agustín Irusta
Orquesta Típica Victor con José Bohr y coro,Orquesta Típica Víctor,José Bohr
Orquesta Francisco Rotundo con Enrique Campos y Floreal Ruiz,Francisco Rotundo,"Enrique Campos, Floreal Ruíz"
Orquesta Aníbal Troilo con Edmundo Rivero y Floreal Ruiz,Aníbal Troilo,"Floreal Ruíz, Edmundo Rivero"
Orquesta Ricardo Malerba con Orlando Medina,Ricardo Malerba,Orlando Medina
Orquesta Julio De Caro con Roberto Quiroga,Julio De Caro,Roberto Quiroga
Orquesta Roberto Firpo con Teófilo Ibáñez,Roberto Firpo,Teofilo Ibañez
Orquesta Alfredo De Angelis con Carlos Dante y Oscar Larroca,Alfredo De Angelis,"Carlos Dante, Oscar Larroca"
Orquesta Florindo Sassone con Andrés Peyró,Florindo Sassone,Andrés Peyró
Orquesta Francisco Canaro con Juan Carlos Rolón y Guillermo Rico,Francisco Canaro,Guillermo Rico
Orquesta Edgardo Donato con Alberto Gómez,Edgardo Donato,Alberto Gómez
Orquesta Adolfo Carabelli con Alberto Gómez y Alberto Vila,Adolfo Carabelli,"Alberto Vila, Alberto Gómez"
Orquesta Osvaldo Fresedo con Hugo Marcel,Osvaldo Fresedo,Hugo Marcel
Orquesta Edgardo Donato con Alberto Podestá,Edgardo Donato,Alberto Podestá
Orquesta Miguel Caló con Raúl Iriarte y Luis Tolosa,Miguel Caló,"Luis Tolosa, Raúl Iriarte"
Orquesta Edgardo Donato con Horacio Lagos y Lita Morales,Edgardo Donato,"Horacio Lagos, Lita Morales"
Orquesta Típica Victor con Jaime Moreno y Lito Bayardo,Orquesta Típica Víctor,"Jaime Moreno, Lito Bayardo"
Miguel Villasboas y Hugo Di Yorio,Miguel Villasboas,-
Orquesta Alfredo De Angelis con Carlos Dante,Alfredo De Angelis,Carlos Dante
Orquesta Edgardo Donato con Romeo Gavio y Lita Morales,Edgardo Donato,"Lita Morales, Romeo Gavioli"
Cuarteto de Aníbal Troilo con Mario Bustos,Aníbal Troilo,
Orquesta Adolfo Carabelli con Alberto Gómez,Adolfo Carabelli,Alberto Gómez
Pedro Laurenz y Pedro Maffia,"Pedro Laurenz, Pedro Maffia",-
Orquesta Francisco Lomuto con Carmencita Del Moral,Francisco Lomuto,Carmen Del Moral
